Name,Tags,Local,Tomadas,Coado 100ml,Senha do Wifi,Onde,Instagram
SESI LAB,,"15.796482085339871, -47.882053918063086",Algumas,6,Aberto,Perto da Rodoviária,
Quanto,Opções Veganas,"15.77745846474873, -47.88262290402664",,7.5,xuxalinda,103 Norte,
Civita,Opções Veganas,"15.76095556897071, -47.892622686601875",,,cafesplurais,709 Norte,
Lale,,"15.830347916768314, -47.91597091165824",,7.33,lalelale,213 Sul,https://instagram.com/lalecafedoceria
Acervo Café,Opções Veganas,"15.826621748208689, -47.95348092773956",Muitas,,acervocafe,Casa Park,
The Coffee,,"15.759875316186015, -47.88059592325139",Poucas,,whitecube,"409 Norte, +",
Vértice,Opções Veganas,"15.83863401560543, -48.052391128851326",Muitas,6.5,,QSA 11 - Taguatinga,
Aha,Opções Veganas,"15.763259753998524, -47.8924694291609",Muitas,5.33,12345678,708/709 Norte,https://instagram.com/ahacafes
Ernesto,Opções Veganas,"15.830421236819298, -47.92419285984641",Algumas,10.83,Aberto,115 Sul,
Loma,Opções Veganas,"15.780397968812556, -47.885057673339915",,,,,
